iter	F1	Logloss
0	0.4113210158	0.4774933169
1	0.4212712921	0.361664232
2	0.4550873587	0.3062793354
3	0.4050233226	0.2759072701
4	0.4323406663	0.2551170276
5	0.4639533269	0.24088427
6	0.4619031021	0.2303589308
7	0.4794548833	0.2248833357
8	0.4765442289	0.2209409573
9	0.4844711999	0.2167464177
10	0.5079044736	0.2130347051
11	0.5161419691	0.2100619759
12	0.5237335461	0.2075769364
13	0.5269580211	0.2048278587
14	0.536643026	0.2020702279
15	0.5391828972	0.1995908071
16	0.551303671	0.1975519422
17	0.5575421158	0.1959548305
18	0.5645502985	0.1935387054
19	0.5749936338	0.191734415
20	0.5782550677	0.1902555042
21	0.5793418879	0.1884634595
22	0.5819656549	0.1873099254
23	0.5875086658	0.1859610456
24	0.591568763	0.1847703213
25	0.5954542608	0.1833229012
26	0.5991756183	0.1816318221
27	0.6048015922	0.18006874
28	0.606899119	0.1790032834
29	0.607000993	0.1779835392
30	0.6121818631	0.1768843495
31	0.6143597335	0.1755609335
32	0.6161995688	0.1741071683
33	0.6176271603	0.1733568494
34	0.6191178277	0.1725603393
35	0.6212818154	0.1716895369
36	0.622848392	0.1710042872
37	0.6264574812	0.1695966663
38	0.6286341196	0.1688430142
39	0.6325824276	0.1679767859
40	0.6339540244	0.1671875697
41	0.6387681159	0.1663600622
42	0.6402508896	0.1656747263
43	0.6425219588	0.1648575598
44	0.6434709453	0.1642449356
45	0.6468120805	0.1630353828
46	0.6501285193	0.16224588
47	0.6524771955	0.1615901809
48	0.6539652298	0.160989251
49	0.6564449991	0.1603027851
50	0.6591622726	0.1595776462
51	0.6610670768	0.1589427224
52	0.664305531	0.1582123815
53	0.6653308975	0.1576563545
54	0.6680002353	0.1569491544
55	0.6701921382	0.156431666
56	0.6713188295	0.1558137532
57	0.6732626895	0.1552405048
58	0.6734586334	0.1546917769
59	0.6740033952	0.154114743
60	0.6775624562	0.1533456842
61	0.6788734037	0.1528015708
62	0.6798345278	0.1522552438
63	0.6808287743	0.1517613132
64	0.6827822651	0.1512709472
65	0.6834649327	0.1507192846
66	0.6851046559	0.1502232594
67	0.6856016694	0.1497627611
68	0.688035177	0.1492202248
69	0.6898544026	0.1486138456
70	0.6912155143	0.1481611592
71	0.6920059984	0.1476567856
72	0.6928616696	0.1472862357
73	0.694676259	0.1468836681
74	0.6954971534	0.1464774911
75	0.6953672836	0.1460967783
76	0.6966459913	0.1456256105
77	0.6978078733	0.1452543184
78	0.6988877422	0.1448072446
79	0.6993583868	0.1443332244
80	0.6994103841	0.1440195877
81	0.7008517693	0.143548206
82	0.7027984009	0.1430928247
83	0.7037861915	0.1426752291
84	0.704889041	0.1423306948
85	0.7056543548	0.1419598469
86	0.7060833903	0.1415123067
87	0.7082906858	0.1411956573
88	0.7090578475	0.1408388924
89	0.7102411348	0.1403842583
90	0.7114109177	0.1399847118
91	0.7120181406	0.1396654365
92	0.7126514894	0.1393306925
93	0.7126696833	0.1390484268
94	0.7135428442	0.1387247057
95	0.7148258931	0.1383105549
96	0.7153012864	0.1381537024
97	0.7164599775	0.1378210539
98	0.7177033493	0.1373367192
99	0.7184105364	0.1370431806
100	0.7198469847	0.1366171962
101	0.7205667379	0.1362631723
