iter	Passed	Remaining
0	238	476100
1	446	446291
2	688	458478
3	927	462694
4	1129	450703
5	1343	446404
6	1576	448990
7	1805	449586
8	2001	442696
9	2213	440477
10	2442	441616
11	2678	443709
12	2877	439805
13	3106	440735
14	3370	446088
15	3661	453969
16	3869	451413
17	4119	453656
18	4387	457443
19	4590	454425
20	4815	453839
21	5018	451251
22	5205	447477
23	5388	443683
24	5594	441927
25	5849	444148
26	6090	445051
27	6296	443460
28	6504	442069
29	6708	440511
30	6925	439898
31	7183	441813
32	7383	440077
33	7636	441584
34	7841	440228
35	8030	438105
36	8225	436382
37	8486	438178
38	8681	436517
39	8896	435906
40	9122	435898
41	9341	435473
42	9550	434666
43	9788	435136
44	10082	438047
45	10316	438222
46	10533	437719
47	10787	438691
48	10974	436964
49	11173	435750
50	11370	434514
51	11645	436267
52	11830	434589
53	12013	432945
54	12199	431422
55	12386	429995
56	12629	430524
57	12919	432596
58	13137	432192
59	13345	431499
60	13612	432703
61	13883	433967
62	14099	433511
63	14307	432794
64	14519	432238
65	14714	431166
66	14944	431148
67	15164	430857
68	15416	431447
69	15637	431136
70	15863	430997
71	16125	431805
72	16318	430772
73	16511	429754
74	16727	429350
75	16962	429410
76	17209	429801
77	17482	430790
78	17679	429900
79	17902	429653
80	18089	428566
81	18322	428556
82	18535	428108
83	18732	427274
84	18934	426590
85	19183	426941
86	19382	426188
87	19567	425159
88	19796	425077
89	19983	424102
90	20183	423415
91	20391	422896
92	20597	422364
93	20822	422204
94	21058	422268
95	21267	421801
96	21467	421165
97	21679	420762
98	21916	420843
99	22150	420865
100	22362	420468
101	22636	421209
102	22840	420662
103	23060	420404
104	23266	419912
105	23452	419041
106	23649	418394
107	23887	418471
108	24097	418062
109	24290	417360
110	24554	417873
111	24744	417128
112	24968	416947
113	25153	416128
114	25380	416011
115	25563	415193
116	25778	414880
117	25970	414213
118	26207	414256
119	26424	413989
120	26690	414477
121	26901	414102
122	27124	413918
123	27334	413551
124	27533	412998
125	27747	412687
126	27969	412491
127	28240	413018
128	28430	412356
129	28652	412156
130	28847	411572
131	29081	411547
132	29289	411153
133	29496	410747
134	29715	410515
135	29923	410134
136	30117	409558
137	30323	409151
138	30526	408699
139	30751	408561
140	30948	408039
141	31140	407459
142	31354	407173
143	31561	406791
144	31803	406861
145	32002	406387
146	32208	405997
147	32449	406057
148	32655	405674
149	32900	405768
150	33195	406480
151	33488	407149
152	33705	406889
153	33931	406740
154	34166	406691
155	34378	406372
156	34632	406541
157	34870	406528
158	35065	406013
159	35300	405960
160	35505	405561
161	35730	405383
162	36003	405752
163	36246	405780
164	36442	405280
165	36630	404698
166	36823	404171
167	37043	403951
168	37283	403939
169	37476	403427
170	37696	403195
171	37916	402972
172	38122	402601
173	38306	402000
174	38569	402228
175	38786	401965
176	38975	401424
177	39164	400890
